MatchID,InningsNo,Team,PlayerName,MatchPlayingOrder,BowlerName,OutDesc,Runs,Balls,DotBalls,Ones,Twos,Threes,Fours,Sixes,StrikeRate,WicketNo,AgainstFast,AgainstSpin
1,1,CSK,Ruturaj  Gaikwad,1,Umesh Yadav,c Nitish Rana b Umesh Yadav,0,4,4,0,0,0,0,0,0.00,3.0,3,0
1,1,CSK,Devon Conway,2,Umesh Yadav,c Shreyas Iyer b Umesh Yadav,3,8,5,3,0,0,0,0,37.50,2.0,8,0
1,1,CSK,Robin Uthappa,3,Varun Chakaravarthy,st Sheldon Jackson b Varun Chakaravarthy,28,21,10,6,1,0,2,2,133.33,5.0,15,6
1,1,CSK,Ambati Rayudu,4,Sunil Narine,run out (Shreyas Iyer),15,17,10,5,0,0,1,1,88.24,1.0,4,13
1,1,CSK,Ravindra Jadeja,5,,not out,26,28,8,18,1,0,0,1,92.86,,14,14
1,1,CSK,Shivam Dube,7,Andre Russell,c Sunil Narine b Andre Russell,3,6,3,3,0,0,0,0,50.00,4.0,3,3
1,1,CSK,MS Dhoni,6,,not out,50,38,16,12,2,0,7,1,131.58,,25,12
1,1,CSK,Dwayne Bravo,8,,,0,0,0,0,0,0,0,0,-,,0,0
1,1,CSK,Adam Milne,9,,,0,0,0,0,0,0,0,0,-,,0,0
1,1,CSK,Tushar Deshpande,10,,,0,0,0,0,0,0,0,0,-,,0,0
1,1,CSK,Mitchell Santner,11,,,0,0,0,0,0,0,0,0,-,,0,0
1,2,KKR,Ajinkya Rahane,2,Mitchell Santner,c Ravindra Jadeja b Mitchell Santner,44,34,15,10,2,0,6,1,129.41,1.0,21,13
1,2,KKR,Venkatesh Iyer,3,Dwayne Bravo,c MS Dhoni b Dwayne Bravo,16,16,9,2,3,0,2,0,100.00,3.0,14,2
1,2,KKR,Nitish Rana,4,Dwayne Bravo,c Ambati Rayudu b Dwayne Bravo,21,17,7,7,0,0,2,1,123.53,4.0,13,4
1,2,KKR,Shreyas Iyer,1,,not out,20,19,4,12,2,0,1,0,105.26,,7,12
1,2,KKR,Sam Billings,6,Dwayne Bravo,c Tushar Deshpande b Dwayne Bravo,25,22,8,9,3,0,1,1,113.64,2.0,5,17
1,2,KKR,Sheldon Jackson,8,,not out,3,3,0,3,0,0,0,0,100.00,,3,0
1,2,KKR,Andre Russell,5,,,0,0,0,0,0,0,0,0,-,,0,0
1,2,KKR,Sunil Narine,7,,,0,0,0,0,0,0,0,0,-,,0,0
1,2,KKR,Shivam Mavi,9,,,0,0,0,0,0,0,0,0,-,,0,0
1,2,KKR,Umesh Yadav,10,,,0,0,0,0,0,0,0,0,-,,0,0
1,2,KKR,Varun Chakaravarthy,11,,,0,0,0,0,0,0,0,0,-,,0,0
2,1,MI,Rohit Sharma,2,Kuldeep Yadav,c Rovman Powell b Kuldeep Yadav,41,32,14,11,1,0,4,2,128.13,2.0,22,10
2,1,MI,Ishan Kishan,1,,not out,81,48,12,21,2,0,11,2,168.75,,21,27
2,1,MI,Anmolpreet Singh,4,Kuldeep Yadav,c Lalit Yadav b Kuldeep Yadav,8,9,3,4,2,0,0,0,88.89,4.0,0,9
2,1,MI,Tilak Varma,3,Khaleel Ahmed,c Prithvi Shaw b Khaleel Ahmed,22,15,4,6,2,0,3,0,146.67,3.0,7,8
2,1,MI,Kieron Pollard,5,Kuldeep Yadav,c Tim Seifert b Kuldeep Yadav,3,6,3,3,0,0,0,0,50.00,5.0,3,3
2,1,MI,Tim David,6,Khaleel Ahmed,c Mandeep Singh b Khaleel Ahmed,12,8,2,4,1,0,0,1,150.00,1.0,5,3
2,1,MI,Daniel Sams,7,,not out,7,2,0,1,0,0,0,1,350.00,,2,0
2,1,MI,Murugan Ashwin,8,,,0,0,0,0,0,0,0,0,-,,0,0
2,1,MI,Tymal Mills,9,,,0,0,0,0,0,0,0,0,-,,0,0
2,1,MI,Jasprit Bumrah,10,,,0,0,0,0,0,0,0,0,-,,0,0
2,1,MI,Basil Thampi,11,,,0,0,0,0,0,0,0,0,-,,0,0
2,2,DC,Prithvi Shaw,1,Basil Thampi,c Ishan Kishan b Basil Thampi,38,24,10,6,2,0,4,2,158.33,1.0,18,6
2,2,DC,Tim Seifert,2,Murugan Ashwin,b Murugan Ashwin,21,14,7,2,0,1,4,0,150.00,11.0,11,3
2,2,DC,Mandeep Singh,3,Murugan Ashwin,c Tilak Varma b Murugan Ashwin,0,2,2,0,0,0,0,0,0.00,5.0,0,2
2,2,DC,Rishabh Pant,4,Tymal Mills,c Tim David b Tymal Mills,1,2,1,1,0,0,0,0,50.00,4.0,1,1
2,2,DC,Lalit Yadav,6,,not out,48,38,13,18,1,0,4,2,126.32,,27,11
2,2,DC,Rovman Powell,5,Basil Thampi,c Daniel Sams b Basil Thampi,0,2,2,0,0,0,0,0,0.00,2.0,2,0
2,2,DC,Shardul Thakur,8,Basil Thampi,c Rohit Sharma b Basil Thampi,22,11,2,4,1,0,4,0,200.00,3.0,10,1
2,2,DC,Axar Patel,7,,not out,38,17,2,8,2,0,2,3,223.53,,17,0
2,2,DC,Khaleel Ahmed,9,,,0,0,0,0,0,0,0,0,-,,0,0
2,2,DC,Kuldeep Yadav,10,,,0,0,0,0,0,0,0,0,-,,0,0
2,2,DC,Kamlesh Nagarkoti,11,,,0,0,0,0,0,0,0,0,-,,0,0
3,1,RCB,Faf Du Plessis,1,Arshdeep Singh,c Shahrukh Khan b Arshdeep Singh,88,57,21,18,8,0,3,7,154.39,1.0,31,26
3,1,RCB,Anuj Rawat,2,Rahul Chahar,b Rahul Chahar,21,20,12,3,2,0,2,1,105.00,9.0,17,3
3,1,RCB,Virat Kohli,3,,not out,41,29,5,17,4,0,1,2,141.38,,10,19
3,1,RCB,Dinesh Karthik,4,,not out,32,14,6,2,0,0,3,3,228.57,,14,0
3,1,RCB,Sherfane Rutherford,5,,,0,0,0,0,0,0,0,0,-,,0,0
3,1,RCB,David Willey,6,,,0,0,0,0,0,0,0,0,-,,0,0
3,1,RCB,Wanindu Hasaranga,7,,,0,0,0,0,0,0,0,0,-,,0,0
3,1,RCB,Shahbaz Ahmed,8,,,0,0,0,0,0,0,0,0,-,,0,0
3,1,RCB,Harshal Patel,9,,,0,0,0,0,0,0,0,0,-,,0,0
3,1,RCB,Mohammed Siraj,10,,,0,0,0,0,0,0,0,0,-,,0,0
3,1,RCB,Akash Deep,11,,,0,0,0,0,0,0,0,0,-,,0,0
3,2,PBSK,Mayank Agarwal,6,Wanindu Hasaranga,c Shahbaz Ahmed b Wanindu Hasaranga,32,24,9,10,1,0,2,2,133.33,2.0,20,4
3,2,PBSK,Shikhar Dhawan,7,Harshal Patel,c Anuj Rawat b Harshal Patel,43,29,8,13,2,0,5,1,148.28,3.0,23,6
3,2,PBSK,Bhanuka Rajapaksa,9,Mohammed Siraj,c Shahbaz Ahmed b Mohammed Siraj,43,22,8,5,3,0,2,4,195.45,1.0,11,11
3,2,PBSK,Liam Livingstone,8,Akash Deep,c Anuj Rawat b Akash Deep,19,10,3,3,2,0,0,2,190.00,4.0,7,3
3,2,PBSK,Rajangad Bawa,11,Mohammed Siraj,lbw Mohammed Siraj,0,1,1,0,0,0,0,0,0.00,10.0,1,0
3,2,PBSK,Shahrukh Khan,10,,not out,24,20,11,4,2,0,1,2,120.00,,14,6
3,2,PBSK,Odean Smith,1,,not out,25,8,1,3,0,0,1,3,312.50,,8,0
3,2,PBSK,Rahul Chahar,2,,,0,0,0,0,0,0,0,0,-,,0,0
